subject_id,session_type,proportion,MSE,true_score,instantaneous_density,proportional_density,max_normed_density,z,pval_2t,metric,simulated_change,percentile,absolute_z
avatarRT_sub_06,WMP,0.5,0.008234805,-0.085016667,4.82E-119,-0.018827521,1.35E-120,-8.336132753,7.68E-17,variance,realignment,0.99999998,8.336132753
avatarRT_sub_07,IM,0.5,0.01104268,-0.021655315,1.88E-30,-0.009117777,8.81E-32,-6.019495614,1.75E-09,variance,subselection,0.99999998,6.019495614
avatarRT_sub_07,IM,0.5,0.000660356,-0.021655315,12.39218509,0.501961292,0.504119501,-1.253811839,0.209910405,variance,realignment,0.79999998,1.253811839
avatarRT_sub_07,WMP,0.5,0.02576997,-0.035884064,1.64E-31,-0.004104201,1.09E-32,-6.106844679,1.02E-09,variance,subselection,0.99999998,6.106844679
avatarRT_sub_07,WMP,0.5,0.009937697,-0.035884064,0.012695476,-0.003842467,0.000748817,4.066925952,4.76E-05,variance,realignment,1.00000002,4.066925952
avatarRT_sub_08,IM,0.5,0.01593715,-0.042763355,2.51E-67,-0.02580241,1.14E-68,-7.141474063,9.23E-13,variance,subselection,0.99999998,7.141474063
avatarRT_sub_08,IM,0.5,0.000630989,-0.042763355,16.03444045,0.840735105,0.842114667,-0.69102753,0.489548241,variance,realignment,0.49599998,0.69102753
avatarRT_sub_08,WMP,0.5,0.009427047,-0.013668953,1.23E-27,-0.022229489,5.42E-29,-5.528784668,3.22E-08,variance,subselection,0.99999998,5.528784668
avatarRT_sub_08,WMP,0.5,0.000383431,-0.013668953,19.79018495,0.997507642,0.997518987,-0.23947287,0.810738931,variance,realignment,0.15399998,0.23947287
avatarRT_sub_10,IM,0.5,0.009242488,-0.02879339,3.27E-24,-0.007231611,1.40E-25,-5.808732364,6.29E-09,variance,subselection,0.99999998,5.808732364
avatarRT_sub_10,IM,0.5,0.001173723,-0.02879339,2.776850078,0.090798388,0.09813086,-2.183623563,0.028989921,variance,realignment,0.97799998,2.183623563
avatarRT_sub_10,WMP,0.5,0.014293886,0.003498163,2.64E-18,-0.010581019,1.59E-19,-5.24907507,1.53E-07,variance,subselection,0.99999998,5.24907507
avatarRT_sub_10,WMP,0.5,0.017020269,0.003498163,8.35E-32,-0.00440852,4.16E-33,6.445885352,1.15E-10,variance,realignment,1.00000002,6.445885352
avatarRT_sub_11,IM,0.5,0.000235931,0.05949057,22.61337491,0.715255096,0.718386557,0.874277835,0.381966967,variance,subselection,0.60600002,0.874277835
avatarRT_sub_11,IM,0.5,0.0030617,0.05949057,0.381833537,0.010237792,0.016310736,3.14039322,0.001687212,variance,realignment,0.99600002,3.14039322
