,session_type,session_id,run,total_variance,average_variance,data_type,subject_id
183,IM,ses_02,2,0.1806893770197273,0.16294096719592907,manifold_projection,avatarRT_sub_10
184,IM,ses_02,2,1.1280492814055332,0.944183974086977,voxel_data,avatarRT_sub_10
185,IM,ses_02,2,0.18479463548136066,0.1633643921166593,component_data,avatarRT_sub_10
186,IM,ses_02,3,0.12217810611089076,0.10369840267814157,manifold_projection,avatarRT_sub_10
187,IM,ses_02,3,1.1023813740649848,0.8821243684823725,voxel_data,avatarRT_sub_10
188,IM,ses_02,3,0.12254881658466456,0.10382256406311903,component_data,avatarRT_sub_10
189,IM,ses_02,4,0.24134855907542718,0.22290496371688628,manifold_projection,avatarRT_sub_10
190,IM,ses_02,4,1.0875597800084937,1.039038685877641,voxel_data,avatarRT_sub_10
191,IM,ses_02,4,0.2433346029214876,0.2235293707171194,component_data,avatarRT_sub_10
192,WMP,ses_04,1,0.1548646962635209,0.1403507095330642,manifold_projection,avatarRT_sub_10
193,WMP,ses_04,1,1.018697775951968,0.9212171857372763,voxel_data,avatarRT_sub_10
194,WMP,ses_04,1,0.15573320520948716,0.14092473177589632,component_data,avatarRT_sub_10
195,WMP,ses_04,2,0.1621994103495187,0.1475508564928677,manifold_projection,avatarRT_sub_10
196,WMP,ses_04,2,1.138117548582704,1.0110294686533,voxel_data,avatarRT_sub_10
197,WMP,ses_04,2,0.16287666299424453,0.14798095837813366,component_data,avatarRT_sub_10
198,WMP,ses_04,3,0.16342894915445558,0.15210471832481712,manifold_projection,avatarRT_sub_10
199,WMP,ses_04,3,0.9367634550632521,0.8636747279884881,voxel_data,avatarRT_sub_10
200,WMP,ses_04,3,0.16449141774125775,0.15271877678797732,component_data,avatarRT_sub_10
201,WMP,ses_04,4,0.22304821422409965,0.203397609907759,manifold_projection,avatarRT_sub_10
202,WMP,ses_04,4,1.1441218326559595,0.9963968250315528,voxel_data,avatarRT_sub_10
203,WMP,ses_04,4,0.22524641453992197,0.20457782672666264,component_data,avatarRT_sub_10
204,OMP,ses_03,1,0.15146116483258948,0.1374615545599343,manifold_projection,avatarRT_sub_10
205,OMP,ses_03,1,1.0746207390836984,0.972085774600003,voxel_data,avatarRT_sub_10
206,OMP,ses_03,1,0.15180917079646308,0.1372040671617476,component_data,avatarRT_sub_10
207,OMP,ses_03,2,0.1379133033514173,0.10929770026396687,manifold_projection,avatarRT_sub_10
208,OMP,ses_03,2,1.1782421855997023,0.9068558597655136,voxel_data,avatarRT_sub_10
209,OMP,ses_03,2,0.14034811140591297,0.10951604998913855,component_data,avatarRT_sub_10
210,OMP,ses_03,3,0.1446044370028014,0.12484703517651682,manifold_projection,avatarRT_sub_10
211,OMP,ses_03,3,1.0020451542845423,0.8731835428853062,voxel_data,avatarRT_sub_10
212,OMP,ses_03,3,0.14484508244959185,0.12496198525768379,component_data,avatarRT_sub_10
213,OMP,ses_03,4,0.14773969713944657,0.13240990543454137,manifold_projection,avatarRT_sub_10
214,OMP,ses_03,4,0.9923825520489143,0.8929524824870511,voxel_data,avatarRT_sub_10
215,OMP,ses_03,4,0.1484279705398645,0.13223414166518005,component_data,avatarRT_sub_10
216,IM,ses_02,1,0.08466915404274021,0.07766987349912728,manifold_projection,avatarRT_sub_11
217,IM,ses_02,1,1.0632720440358783,0.9407121249073674,voxel_data,avatarRT_sub_11
218,IM,ses_02,1,0.08476739614194445,0.07707645416814803,component_data,avatarRT_sub_11
219,IM,ses_02,2,0.1217237953176547,0.1101368906982467,manifold_projection,avatarRT_sub_11
220,IM,ses_02,2,1.1741864466302847,1.0632286844325443,voxel_data,avatarRT_sub_11
221,IM,ses_02,2,0.12216617072705704,0.11039016167200162,component_data,avatarRT_sub_11
222,IM,ses_02,3,0.10516344730269657,0.07971244057135332,manifold_projection,avatarRT_sub_11
223,IM,ses_02,3,1.2499746409088897,0.9788061376158209,voxel_data,avatarRT_sub_11
